Column0;Column1;Column2;Column3;Column4;Column5;Column6;Column7
Toyota;Rush;23/01/2016;Used;22249995;White;CashOrInstallments;583750
Kia;Carnival;24/02/2013;Used;0;Grey;Cash;100000
Toyota;Camry;24/12/2004;Used;24999005;White;Installments;583750
Ford;Fusion;17/01/2011;Used;2000000;White;Cash;224254
Ford;Taurus;07/02/2004;Used;50000;Grey;Cash;224254
Renault;Dokker Van;20/05/2004;Used;649995;White;Cash;200000
Toyota;Camry;20/11/2004;New;0;White;CashOrInstallments;985000
Ford;Fusion;29/04/2000;Used;1049995;Black;Cash;450000
Nissan;Patrol;22/06/2009;Used;2000000;White;Cash;360000
Ford;Expedition;05/12/2013;Used;2000000;Black;Installments;21140
BMW;X5;20/01/2011;Used;2000000;Silver;Cash;250000
Cadillac;Escalade;01/03/2008;Used;1749995;Black;CashOrInstallments;400000
Ford;Crown Victoria;15/10/2002;Used;1449995;Silver;Cash;230000
Toyota;Prado;26/06/2005;Used;2010000;White;Cash;583750
Toyota;Avalon;01/11/2001;Used;2900000;White;Cash;300000
Mazda;3;16/10/2011;Used;1549995;Green;Cash;160000
Ford;Explorer;11/05/2005;Used;1949995;Silver;Cash;420000
Kia;Opirus;06/05/2007;Used;50000;Grey;Cash;100000
BMW;740;08/02/2002;Used;2000000;Black;Cash;625000
GMC;Envoy;21/01/2011;Used;2000000;White;Cash;220000
BMW;740;03/01/2021;Used;2000000;Black;Cash;625000
Renault;Symbol;24/09/2011;Used;449995;Silver;Cash;120000
Toyota;Yaris;06/10/2005;Used;2000000;Green;Cash;110000
Dodge;Durango;11/01/2009;Used;2000000;Grey;Cash;350000
Kia;Rio;01/06/1999;Used;449995;Beige;Cash;100000
BMW;730;22/10/2009;Used;1149995;Brown;Cash;1000000
Suzuki;Other;21/01/2016;Used;149995;White;Cash;240000
Toyota;Fortuner;30/09/2021;Used;649995;White;Cash;940000
Toyota;Rush;22/05/2005;Used;149995;White;CashOrInstallments;583750
Kia;Carnival;03/11/1999;Used;0;Grey;Cash;100000
